painting,paintingLabel,depicts,depictsLabel
http://www.wikidata.org/entity/Q22084423,Gra w karty,http://www.wikidata.org/entity/Q47883,karta do gry
http://www.wikidata.org/entity/Q22084430,Satyr i nimfy,http://www.wikidata.org/entity/Q163709,satyr
http://www.wikidata.org/entity/Q22084430,Satyr i nimfy,http://www.wikidata.org/entity/Q3346693,nimfa
http://www.wikidata.org/entity/Q22084442,Arka Noego,http://www.wikidata.org/entity/Q81422,Noe
http://www.wikidata.org/entity/Q22084442,Arka Noego,http://www.wikidata.org/entity/Q126553,Arka Noego
http://www.wikidata.org/entity/Q22084471,Król Dawid grający na harfie,http://www.wikidata.org/entity/Q41370,Dawid
http://www.wikidata.org/entity/Q22084471,Król Dawid grający na harfie,http://www.wikidata.org/entity/Q47369,harfa
http://www.wikidata.org/entity/Q22084471,Król Dawid grający na harfie,http://www.wikidata.org/entity/Q187947,partytura
http://www.wikidata.org/entity/Q22084471,Król Dawid grający na harfie,http://www.wikidata.org/entity/Q235113,anioł
http://www.wikidata.org/entity/Q22084481,Starzec (Rabin),http://www.wikidata.org/entity/Q7325,Żydzi
http://www.wikidata.org/entity/Q22084481,Starzec (Rabin),http://www.wikidata.org/entity/Q8441,mężczyzna
http://www.wikidata.org/entity/Q22084481,Starzec (Rabin),http://www.wikidata.org/entity/Q42804,broda
http://www.wikidata.org/entity/Q22084481,Starzec (Rabin),http://www.wikidata.org/entity/Q133485,rabin
http://www.wikidata.org/entity/Q22084481,Starzec (Rabin),http://www.wikidata.org/entity/Q191089,starość
http://www.wikidata.org/entity/Q22084508,Pejzaż z nimfami i satyrami,http://www.wikidata.org/entity/Q107425,krajobraz
http://www.wikidata.org/entity/Q22084508,Pejzaż z nimfami i satyrami,http://www.wikidata.org/entity/Q109607,ruiny
http://www.wikidata.org/entity/Q22084508,Pejzaż z nimfami i satyrami,http://www.wikidata.org/entity/Q163709,satyr
http://www.wikidata.org/entity/Q22084508,Pejzaż z nimfami i satyrami,http://www.wikidata.org/entity/Q3346693,nimfa
http://www.wikidata.org/entity/Q22084516,Męczeństwo św. Erazma,http://www.wikidata.org/entity/Q8441,mężczyzna
http://www.wikidata.org/entity/Q22084516,Męczeństwo św. Erazma,http://www.wikidata.org/entity/Q359878,Erazm z Formii
http://www.wikidata.org/entity/Q22084516,Męczeństwo św. Erazma,http://www.wikidata.org/entity/Q6498826,męczennik
http://www.wikidata.org/entity/Q22084524,Staruszka modląca się,http://www.wikidata.org/entity/Q40953,modlitwa
http://www.wikidata.org/entity/Q22084524,Staruszka modląca się,http://www.wikidata.org/entity/Q191089,starość
http://www.wikidata.org/entity/Q22084524,Staruszka modląca się,http://www.wikidata.org/entity/Q850298,kaptur
