"object_id","url","desc","img_src","full_img_src","is_sent"
39,"https://zbiory.mnk.pl/pl/katalog/368783","Deszcz wieczorny w Karasaki / Karasaki no yau, plansza 2. z serii: Osiem widoków pięknych miejsc w prowincji Omi / Omi hakkei no uchi, Hiroshige, Ichiryusai (1797-1858)","https://cdn-zbiory.mnk.pl/upload/cache/multimedia_detail/38/de/38de3e22450e27cb4e5d7f7c4d049fe4.jpg","https://cdn-zbiory.mnk.pl/upload/multimedia/38/de/38de3e22450e27cb4e5d7f7c4d049fe4.jpg",0
40,"https://zbiory.mnk.pl/pl/katalog/230628","Biały deszcz na grobli nad rzeką Sumidagawa, z serii: Nowy wybór słynnych widoków Edo / Shinsen Edo meisho, Hiroshige, Ichiryusai (1797-1858)","https://cdn-zbiory.mnk.pl/upload/cache/multimedia_detail/4e/bf/4ebf5cbd72b2e9ef06b23f47842d34cf.jpg","https://cdn-zbiory.mnk.pl/upload/multimedia/4e/bf/4ebf5cbd72b2e9ef06b23f47842d34cf.jpg",0
41,"https://zbiory.mnk.pl/pl/katalog/168286","Motyw z Radziszowa, Kamocki, Stanisław (1875-1944)","https://cdn-zbiory.mnk.pl/upload/cache/multimedia_detail/c7/95/c79573fd428557b3ab493ddd6ee030a2.jpg","https://cdn-zbiory.mnk.pl/upload/multimedia/c7/95/c79573fd428557b3ab493ddd6ee030a2.jpg",0
42,"https://zbiory.mnk.pl/pl/katalog/344477","Rue le soir, sous la pluie / Ulica wieczorem, w deszczu / Street in the Evening in the Rain, [1898-1899] pl. 10 [11] z: Pierre Bonnard, Quelques aspects de la vie de Paris, Paris: A. Vollard, 1899, Bonnard, Pierre (1867-1947)","https://cdn-zbiory.mnk.pl/upload/cache/multimedia_detail/55/2e/552ed649f22fca2dcc1ce4faac9c6e27.jpg","https://cdn-zbiory.mnk.pl/upload/multimedia/55/2e/552ed649f22fca2dcc1ce4faac9c6e27.jpg",0
43,"https://zbiory.mnk.pl/pl/katalog/547077","Poeta Fujiwara-no Okikaze przechodzący koło starej sosny w Takasago w wieczornym deszczu / Fujiwara-no Okikaze, z serii: Ze stu poetów po jednej strofie / Hyakunin isshu no uchi, Utagawa, Kuniyoshi (1797-1861)","https://cdn-zbiory.mnk.pl/upload/cache/multimedia_detail/cf/04/cf04c72d05370cb8f7bc201b46cf6ef1.jpg","https://cdn-zbiory.mnk.pl/upload/multimedia/cf/04/cf04c72d05370cb8f7bc201b46cf6ef1.jpg",0
44,"https://zbiory.mnk.pl/pl/katalog/87310","Wieczorny deszcz w Oyama / Oyama yau, z serii: Osiem słynnych widoków / Meisho hakkei, Toyokuni II, Utagawa (1777-1835)","https://cdn-zbiory.mnk.pl/upload/cache/multimedia_detail/26/c6/26c6627ac81fb70d9cfd73f7efc1d938.jpg","https://cdn-zbiory.mnk.pl/upload/multimedia/26/c6/26c6627ac81fb70d9cfd73f7efc1d938.jpg",0
45,"https://zbiory.mnk.pl/pl/katalog/350097","Deszcz wieczorny w Koizumi / Koizumi-no yau, plansza 1. z serii: Osiem widoków Kanazawa / Kanazawa hakkei, Hiroshige, Ichiryusai (1797-1858)","https://cdn-zbiory.mnk.pl/upload/cache/multimedia_detail/d9/09/d9097b3e1a89ed0e7f73e67b4dd28ab9.jpg","https://cdn-zbiory.mnk.pl/upload/multimedia/d9/09/d9097b3e1a89ed0e7f73e67b4dd28ab9.jpg",0
46,"https://zbiory.mnk.pl/pl/katalog/224117","Zadymka śnieżna, pl. z teki: Leon Wyczółkowski, Wrażenia z Białowieży, Kraków, 1922, Wyczółkowski, Leon (1852-1936)","https://cdn-zbiory.mnk.pl/upload/cache/multimedia_detail/7c/a5/7ca5af561599ba1684375728a3b71983.jpg","https://cdn-zbiory.mnk.pl/upload/multimedia/7c/a5/7ca5af561599ba1684375728a3b71983.jpg",0
47,"https://zbiory.mnk.pl/pl/katalog/561883","Deszcz wieczorny nad rzeką Sumidagawa, z serii: Dwanaście widoków Edo / Edo juni kei, Hiroshige, Ichiryusai (1797-1858)","https://cdn-zbiory.mnk.pl/upload/cache/multimedia_detail/8a/3f/8a3f656289e31b6022917bf44d93bb6b.jpg","https://cdn-zbiory.mnk.pl/upload/multimedia/8a/3f/8a3f656289e31b6022917bf44d93bb6b.jpg",0
48,"https://zbiory.mnk.pl/pl/katalog/109261","Tapiseria ""Złoty deszcz"", nieznany","https://cdn-zbiory.mnk.pl/upload/cache/multimedia_detail/88/ce/88ce41897e50e0820e8786e6b22f6bc4.jpg","https://cdn-zbiory.mnk.pl/upload/multimedia/88/ce/88ce41897e50e0820e8786e6b22f6bc4.jpg",0
