"corpus","user/mw0000/archiwa_spoleczne"
"subcorpus","###M475432996817978613###"
Item,Frequency,DOCF,Relative DOCF
"sukcesywnie",2,1,16.66667
"obcy",2,2,33.33333
"znów",2,1,16.66667
"grant",2,2,33.33333
"forma",2,1,16.66667
"zdjęcie",2,1,16.66667
"of",2,1,16.66667
"istny",2,1,16.66667
"animacyjny",2,1,16.66667
"były",2,2,33.33333
"limanowska",2,2,33.33333
"udzielić",2,2,33.33333
"pozwalać",2,2,33.33333
"prawie",2,1,16.66667
"konsekwencja",2,1,16.66667
"ktoś",2,2,33.33333
"księga",2,1,16.66667
"tańczyć",2,2,33.33333
"kolejny",2,1,16.66667
"zmierzać",2,1,16.66667
"związek",2,2,33.33333
"im.",2,2,33.33333
"popkulturowy",2,1,16.66667
"dwuletni",2,2,33.33333
"wtedy",2,1,16.66667
"xvii",2,2,33.33333
