"corpus","user/mw0000/archiwa_spoleczne"
"subcorpus","-"
Item,Frequency,Relative frequency,DOCF,Relative DOCF
"napisać",37,71.50740,17,9.18919
"związać",36,69.57476,11,5.94595
"tj.",36,69.57476,7,3.78378
"spotkać",36,69.57476,21,11.35135
"digitalizować",36,69.57476,14,7.56757
"proponować",36,69.57476,8,4.32432
"wymieniać",36,69.57476,8,4.32432
"kontynuować",36,69.57476,15,8.10811
"zadbać",36,69.57476,12,6.48649
"zamknąć",35,67.64213,19,10.27027
"wyszukiwać",35,67.64213,15,8.10811
"reprezentować",35,67.64213,11,5.94595
"trafiać",35,67.64213,8,4.32432
"nadawać",35,67.64213,7,3.78378
"utrwalić",34,65.70950,14,7.56757
"dostosować",34,65.70950,14,7.56757
"stawiać",34,65.70950,13,7.02703
"włączać",34,65.70950,9,4.86486
"obowiązywać",34,65.70950,13,7.02703
"wywoływać",34,65.70950,10,5.40541
"przynieść",33,63.77687,17,9.18919
"podlegać",33,63.77687,7,3.78378
"przeczytać",33,63.77687,4,2.16216
"wydzielić",32,61.84423,4,2.16216
"uczyć",32,61.84423,15,8.10811
"wpisywać",32,61.84423,8,4.32432
"zgłosić",32,61.84423,13,7.02703
"umożliwić",32,61.84423,11,5.94595
"mieścić",32,61.84423,16,8.64865
"archiwizować",32,61.84423,17,9.18919
"zachowywać",32,61.84423,17,9.18919
"zbudować",32,61.84423,15,8.10811
"rozproszyć",32,61.84423,9,4.86486
"oferować",32,61.84423,17,9.18919
"przejść",31,59.91160,13,7.02703
"czekać",31,59.91160,22,11.89189
"oglądać",31,59.91160,15,8.10811
"stanąć",31,59.91160,14,7.56757
"wystarczyć",31,59.91160,16,8.64865
"utrzymać",31,59.91160,8,4.32432
"wychodzić",31,59.91160,12,6.48649
"poznawać",31,59.91160,12,6.48649
"kolekcjonować",30,57.97897,8,4.32432
"omawiać",30,57.97897,11,5.94595
"ułożyć",30,57.97897,6,3.24324
"pozostawić",30,57.97897,6,3.24324
"udzielić",30,57.97897,17,9.18919
"projektować",30,57.97897,7,3.78378
"przenosić",30,57.97897,15,8.10811
"słuchać",30,57.97897,8,4.32432
"koordynować",30,57.97897,15,8.10811
"zniszczyć",30,57.97897,14,7.56757
"znaczyć",30,57.97897,11,5.94595
"rejestrować",29,56.04634,7,3.78378
"zgłaszać",29,56.04634,15,8.10811
"ułatwić",29,56.04634,10,5.40541
"dominować",29,56.04634,8,4.32432
"przynosić",29,56.04634,18,9.72973
"rozpoznać",29,56.04634,7,3.78378
"ułatwiać",29,56.04634,9,4.86486
"odwołać",29,56.04634,12,6.48649
"popularyzować",28,54.11370,11,5.94595
"utrzymywać",28,54.11370,8,4.32432
"wypełnić",28,54.11370,12,6.48649
"tłumaczyć",28,54.11370,22,11.89189
"nazwać",28,54.11370,11,5.94595
"tzw.",28,54.11370,8,4.32432
"leżeć",27,52.18107,13,7.02703
"zostawać",27,52.18107,10,5.40541
"wywołać",27,52.18107,4,2.16216
"przybliżać",27,52.18107,14,7.56757
"zająć",27,52.18107,11,5.94595
"wrócić",27,52.18107,16,8.64865
"przysługiwać",27,52.18107,12,6.48649
"zadawać",27,52.18107,9,4.86486
"iść",27,52.18107,12,6.48649
"sprzyjać",27,52.18107,10,5.40541
"odwiedzić",27,52.18107,14,7.56757
"koncentrować",26,50.24844,11,5.94595
"dedykować",26,50.24844,19,10.27027
"ukazać",26,50.24844,11,5.94595
"posługiwać",26,50.24844,7,3.78378
"poruszać",26,50.24844,11,5.94595
