"article_title","article_id","filename","nchar"
"Muzeum Ziemi Lubuskiej w Zielonej Górze","2281291","Muzeum_Ziemi_Lubuskiej_w_Zielonej_Górze__pageid-2281291.txt",8870
"Muzeum Ziemi Puckiej im  Floriana Ceynowy w Pucku","901140","Muzeum_Ziemi_Puckiej_im__Floriana_Ceynowy_w_Pucku__pageid-901140.txt",10331
"Muzeum Ziemi Tarnowskiej w Tarnowie","4482367","Muzeum_Ziemi_Tarnowskiej_w_Tarnowie__pageid-4482367.txt",3831
"Muzeum Ziemi Wieluńskiej w Wieluniu","668953","Muzeum_Ziemi_Wieluńskiej_w_Wieluniu__pageid-668953.txt",4363
"Muzeum Żup Krakowskich Wieliczka","440701","Muzeum_Żup_Krakowskich_Wieliczka__pageid-440701.txt",7208
"Mystic Seaport","1672041","Mystic_Seaport__pageid-1672041.txt",1740
"Narodowe Muzeum Historii Naturalnej  Malta ","5454770","Narodowe_Muzeum_Historii_Naturalnej__Malta___pageid-5454770.txt",1525
"Narodowe Muzeum Morskie w Tulon","5098090","Narodowe_Muzeum_Morskie_w_Tulon__pageid-5098090.txt",642
"Narodowe Muzeum Sztuk Pięknych w Valletcie","3974379","Narodowe_Muzeum_Sztuk_Pięknych_w_Valletcie__pageid-3974379.txt",5567
"Narodowe Muzeum Wojny w Valletcie","3974512","Narodowe_Muzeum_Wojny_w_Valletcie__pageid-3974512.txt",2061
"National Baseball Hall of Fame and Museum","2781593","National_Baseball_Hall_of_Fame_and_Museum__pageid-2781593.txt",960
"Nederlands Openluchtmuseum","2937816","Nederlands_Openluchtmuseum__pageid-2937816.txt",3314
"Newseum","4215282","Newseum__pageid-4215282.txt",2399
"Noc Muzeów","570398","Noc_Muzeów__pageid-570398.txt",2273
"Obszar Umocnień Czechosłowackich Hlučín Darkovičky","207789","Obszar_Umocnień_Czechosłowackich_Hlučín_Darkovičky__pageid-207789.txt",456
"Olympisch Stadion  Amsterdam ","961840","Olympisch_Stadion__Amsterdam___pageid-961840.txt",2316
"Pałac Górków w Poznaniu","41514","Pałac_Górków_w_Poznaniu__pageid-41514.txt",4969
"Pałac Inkwizytora","4037624","Pałac_Inkwizytora__pageid-4037624.txt",6912
"Pałac w Kozłówce","54666","Pałac_w_Kozłówce__pageid-54666.txt",4882
"Pałac wersalski","186028","Pałac_wersalski__pageid-186028.txt",21350
"Palazzo Falson","4071243","Palazzo_Falson__pageid-4071243.txt",27231
